V,Draft,Trim,Ps
12,11.8,2,3330.4
10,9.5,5,1795.5
20,10.5,0,14037.6
24.5,12.6,3,39110.5
14,6.08,4.9,3744
23.5,7.04,5,23284.6
20,11,2.4,16215.9
18,7.04,3,10687.7
14,12.6,2,6299.9
20,11.8,3,16650.2
12,10.5,-1,2964.2
22,10.5,-3,19085.6
10,8.44,5,1846
24.5,12.6,1,36082.5
12,12.6,2,3746.9
24.5,11.8,1,29107.6
10,7.04,4,1664.1
12,8.44,-0.88,3359.7
24.5,6.08,6,23410.3
22,6.08,4.9,14999.5
16,7.04,0,7167.2
14,7.04,3,4949.4
23.5,8.44,-0.88,22892.7
20,8.44,2,15968.4
24.5,7.04,0,24640.8
24.5,10.5,2.4,31736.8
18,11,-3,10349.7
10,11,4,1981.3
18,8.44,5,12252.3
20,8.44,1,15523.5
10,11,0,1893.8
16,12.6,2,8944.1
24.5,10.5,0,27623.6
20,10.5,-2,13659.1
12,8.44,2,3576.7
23.5,11.8,2,27018
10,11.8,-1,1939.2
20,6.08,6,10759.8
22,12.6,1,24420.7
12,6.08,3.84,2745.5
24.5,10.5,1,28688.5
20,9.5,0,14095.1
14,9.5,1,5594
18,10.5,-1,10307.5
14,7.04,4,4754.3
10,12.6,3,1849.9
14,11.8,-2,4754.7
24.5,10.5,-2,27874.2
20,6.08,0,12233
20,11.8,-3,14827
16,10.5,1,8553.1
18,12.6,2,12804.5
14,11,0,4990.5
20,7.04,2,13755.3
16,12.6,0,8057.4
14,12.6,-3,5565.4
23.5,10.5,4,28481.9
12,11.8,-2,2737.2
23.5,9.5,1,23907.2
20,11.8,1,14965.9
22,9.5,-3,17567.9
12,7.04,4,2985.7
23.5,8.44,0,23960.8
22,11,0,19649.3
22,11,-2,19225.1
24.5,12.6,2,37141.8
22,11,1,19771.8
20,10.5,2.4,16266.1
20,7.04,3,14015.2
22,10.5,1,20186.5
24.5,8.44,0,28159.1
24.5,11.8,3,34470.4
10,11.8,-3,1614
18,8.44,3,12244.6
23.5,11.8,0,26927
12,11.8,-1,3199.2
22,8.44,-0.88,18146.5
18,10.5,2.4,12118.8
12,9.5,1,3314
14,8.44,2,6033.8
24.5,6.08,0,22238.7
18,11.8,2,11623.3
18,12.6,3,13160.8
24.5,9.5,1,27394.8
20,12.6,0,16966.4
16,11.8,-1,7337.8
14,6.08,1.05,4276.1
16,11.8,0,7100.3
12,11,0,3228
12,7.04,5,3077.8
12,7.04,2,3132
18,7.04,1.2,10842
12,12.6,-1,3296.5
23.5,6.08,0,19544.1
23.5,11.8,1,25571.8
12,9.5,-1,3065.4
16,7.04,5,7152.8
18,12.6,-2,12036.5
14,10.5,-1,4877.4
16,11,2.4,8476.7
20,9.5,-3,12877.6
12,12.6,1,3731
20,7.04,5,13934.6
10,11,-2,1823.8
16,6.08,4.9,5677.1
16,9.5,5,8531.6
22,11.8,-2,20385.2
18,8.44,2,12089.5
22,10.5,4,23188.1
16,6.08,1.05,6358.8
22,10.5,-1,18888
12,11,2.4,3483.4
10,11.8,1,2005.1
12,9.5,2.6,3759.5
10,12.6,0,1823.3
14,12.6,-2,5509.8
24.5,7.04,5,27072.3
24.5,7.04,3,26919.6
14,7.04,2,5232.5
24.5,11,-1,28903.7
18,9.5,5,11934.6
23.5,11.8,-2,27169.7
24.5,8.44,-0.88,27160.7
22,9.5,1,19056
14,11.8,1,5078.7
16,8.44,4,8870.5
10,9.5,0,1830.3
10,10.5,4,2162.8
14,11,2.4,5777.9
22,10.5,0,18662.1
10,11.8,0,1987.6
23.5,11,0,24573.4
14,9.5,5,5515.6
23.5,11.8,-3,26633.7
22,11,-1,19064.9
20,6.08,3.84,11705
23.5,7.04,2,22510.7
16,7.04,3,7606.2
12,6.08,0,2683.6
12,7.04,0,3012.8
20,9.5,-2,13529.3
12,11.8,1,3340.9
16,11.8,-3,6988.5
16,9.5,1,8166.4
22,12.6,2,24497.4
12,12.6,3,3323
23.5,6.08,1.05,19435
20,11,-1,14198.4
12,11.8,-3,2842.2
20,11,0,14491.5
24.5,11,-3,29050
20,10.5,-1,13874.2
23.5,12.6,1,30389.7
18,12.6,0,11537.7
14,11.8,-1,4968.7
14,8.44,4,5570.4
14,8.44,1,5973.6
20,11.8,-1,15347.9
23.5,8.44,2,25598
14,9.5,-3,4659.4
12,6.08,1.05,2534
14,8.44,5,5600.5
14,11,1,5360
18,7.04,0,9818.9
24.5,6.08,4.9,24146.5
23.5,10.5,2.4,27177.3
20,9.5,1,14823.9
16,7.04,1.2,7966
10,10.5,1,2123.5
23.5,8.44,1,25448.2
10,7.04,5,1759.4
18,11.8,-1,10979.7
18,11,0,10451
23.5,9.5,-3,22807.6
22,7.04,4,18517.81
23.5,7.04,0,20994.3
20,11,4,18052.4
10,11.8,3,2216.1
24.5,8.44,4,29386.2
22,12.6,3,25360.1
22,7.04,5,18254.28
16,11.8,2,8008.3
14,11,-2,4675.5
14,10.5,4,6721.8
14,12.6,0,5201.2
23.5,11,1,25086.4
24.5,8.44,5,29365.4
14,9.5,-1,4948.8
12,11.8,0,2942
16,8.44,0,8533.7
20,11.8,0,15443.4
20,11,-2,14448.4
12,8.44,4,3308
10,7.04,3,1800.3
24.5,9.5,0,27436.5
22,11,-3,19875.5
10,8.44,-0.88,1959
12,10.5,-3,3005.8
14,6.08,6,3457
18,10.5,4,13362.6
18,6.08,0,9426.9
